模块	用户触发词	入口类型	前置条件	缺失时追问/引导	MD路由逻辑	对应脚本	输入字段	输出结果	状态文件/数据表	成功话术	失败话术	是否需要用户确认	优先级	测试状态	负责人	备注
开启自动化营销	开启自动化营销/启动自动化营销/我要做自动化营销/确认开启/开启自动确认/关闭自动确认	飞书/OpenClaw/网页	已有人设；数字人已绑定客户/训练后的modelId，或明确使用默认demo modelId；本地scheduler可写	自动化营销需要先完成人设定位和数字人形象。请先发送：生成人设；人设确认后系统会自动训练数字人，或绑定数字人ID xxxxx。	检查persona和digitalHumanReady状态；缺人设先引导生成人设；缺数字人先引导训练/绑定已有ID；数字人就绪后自动写入每日自动化营销本地定时并通知用户；首条视频立即生成，不等待定时任务；默认按mentor流程在审核节点等待确认，显式开启自动确认后才跳过方案/视频确认	scripts/marketing-controller.js/persona-flow.js/onboarding-after-persona-worker.js	personaId, modelId, schedule, confirmationMode	待确认开启；自动化营销状态开启；默认每日07:30任务写入schedule-config.json	automation-marketing-state.json/schedule-config.json/digital-human-state.json	每日自动化营销已设定：每天07:30自动生成数据报告和新视频方案；首条视频现在立即制作，不等定时任务。	自动化营销暂未开启，请先完成人设定位和数字人形象。	是	P0	已实现并更新测试；完整营销飞书链路dry-run通过；真实Coze/训练/成片通过	Codex/mentor	总控入口；先限制一个电脑一个账号一个营销主体；默认训练数字人走Coze+小冰，默认modelId只用于demo/降级；自动确认必须用户显式开启；人设长内容分段发送，不再提示本地json
账号定位/人设生成	启动自动化营销/开启自动化营销/生成人设/账号定位/帮我做人设；或客户直接发“我叫xx，做xx，想在抖音做账号”	飞书/OpenClaw/网页	用户提供姓名/照片/性别/从业年限/主营业务/核心优势/目标客户/个人特质/案例/IP诉求/禁忌偏好，可结构化也可自然语言分批补充	只追问缺失字段，并给一条可复制补充格式。	识别人设资料意图；抽取已提供字段；检测信息完整度；不完整则继续精准追问；完整则按mentor prompt生成详细账号定位方案并请求确认	scripts/persona-flow.js / scripts/persona-feishu-messy-stability.js	name, photo, sex, work_year, bissiness, advantage, segment, trials, cases, demand, taboos	账号定位方案；人设标签；内容方向；用户确认结果	persona-state.json	老板，您的专属人设信息已完成，请您审核。	信息不足，请补充缺失字段后继续。	是	P0	已实现；杂乱飞书输入和完整营销链路dry-run通过	mentor写prompt/Codex写脚本	多轮对话逻辑写入脚本，避免随机回复；客户不按表格填写也能续接收集；已修复“做了8年”误识别为主营业务
人设确认与修改	通过/确认人设/采用这个人设/不通过+修改建议/调整人设	飞书/OpenClaw/网页	已有待确认人设方案	请说明你想调整的方向，例如更专业、更亲和、更年轻。	信息完整后生成待确认人设；用户确认后写入persona状态并自动进入数字人形象定制；用户驳回或修改则保留原资料并按反馈重新生成人设	scripts/persona-flow.js / scripts/feishu-reply-watcher.js	personaDraft, userFeedback	已确认人设或新一版人设方案；确认后触发形象定制和初次视频生成	persona-state.json / automation-marketing-state.json	老板，我将基于原图照片和人设信息为您定制专属数字人形象，请稍等片刻~	人设更新失败，请重新说明调整方向。	是	P0	已实现并接入完整链路测试	mentor/Codex	状态文件采用原子写入，避免并发写坏；通过不等于最终发布，视频仍需确认发布
数字人ID绑定	绑定数字人ID/设置modelId/我的数字人ID是xxx	飞书/OpenClaw/网页	用户已有小冰或外部平台生成的数字人modelId/bizId	请发送：绑定数字人ID xxxxx	提取modelId并保存为customer来源，自动标记数字人已确认；后续一键成片默认使用该modelId	scripts/marketing-controller.js	modelId, personaId	modelId保存成功，数字人前置条件满足	automation-marketing-state.json	数字人ID已绑定，后续成片会使用这个ID。	数字人ID格式不正确，请重新发送。	否	P0	已实现并3轮dry-run通过	Codex	给已有数字人的客户快速跳过训练；不需要再确认形象
默认形象审核	查看形象/确认形象/采用默认形象	飞书/OpenClaw/网页	已有人设；系统已配置默认modelId；客户明确接受demo默认数字人	正式流程建议发送：训练数字人；已有数字人则发送：绑定数字人ID xxxxx	展示当前使用的默认/客户数字人ID；用户确认后写入数字人形象确认状态，作为demo或测试场景的数字人前置条件	scripts/marketing-controller.js	modelId	默认数字人ID确认	automation-marketing-state.json	数字人ID已确认。	数字人ID读取失败，请检查默认配置或重新绑定。	是	P1	已实现；主链路测试改为数字人训练优先	Codex	仅用于demo/测试；正式客户优先训练或绑定自己的数字人
形象训练/数字人生成	训练数字人/生成数字人形象/上传照片训练/形象定制/查看数字人训练/数字人状态	飞书/OpenClaw/网页	已确认人设；本人照片URL；Coze token/工作流ID；小冰 subscription-key；已有数字人可直接绑定ID	缺人设时只追问已确认人设；缺照片时只追问本人照片链接；已有数字人可直接绑定ID	识别训练意图后，默认进入“Coze生成训练视频→小冰创建任务→查询质检→启动训练→查询训练结果→绑定modelId”状态机；显式传--use-default-model或DIGITAL_HUMAN_SKIP_COZE=true时才降级绑定默认demo modelId	scripts/digital-human-training.js / scripts/marketing-controller.js / scripts/digital-human-training-stability.js	persona, photoUrl, sex, age, voiceBizId, cozeWorkflowId, modelId(optional)	Coze训练视频URL、质检进度、训练进度、数字人bizId/modelId；降级时输出默认modelId	digital-human-state.json / automation-marketing-state.json	数字人生成完成，ID已绑定。现在可以回复：开启自动化营销	缺人设/照片时精准追问；Coze限流时提示稍后重试或调整限额；质检/训练失败时返回平台原因并提示重新上传清晰照片或联系管理员。	是	P0	已实现；真实Coze生成训练视频、小冰创建任务、质检、训练和绑定modelId通过；模拟飞书3轮dry-run通过	Codex	mentor工作流已成为默认路径；默认modelId仅用于demo/应急降级/稳定性测试
视频方案/模板审核	生成视频方案/确认方案/不满意	飞书/OpenClaw/网页	已确认人设；数字人已训练/绑定/确认默认	请先完成人设定位和数字人形象。	生成标题、封面文案、tags、口播脚本和digitalHumanInput；用户确认后进入一键成片，驳回则重新生成方案	scripts/marketing-controller.js / scripts/douyin-next-video-plan-from-bitable.js	persona, modelId, days, bitableData	pendingPlan；方案摘要	automation-marketing-state.json/reports	老板，您的视频方案已生成，请您审核。	视频方案生成失败，请先发送：更新数据	是	P0	已实现并模拟飞书10轮通过	Codex	把“标题/模板/内容方案审核”和“最终视频审核”拆开，减少误发布
一键成片创建	初次生成数字人视频/生成数字人视频/一键成片/生成视频/确认方案	飞书/OpenClaw/内部调用	已有人设；数字人已训练/绑定/确认默认；初次启动直接基于已确认人设生成首条视频，不等待定时任务或数据分析；日常流程优先使用已确认方案	日常手动生成缺方案时提示先生成视频方案；初次启动由系统内部直接触发，不要求用户再回复。	调用本机 xiaoice-video-tool 服务创建接口；生成taskId/providerTaskId并轮询；初次启动形象完成后自动进入视频生成并返回待审核视频	scripts/xiaoice-video-produce.js / scripts/marketing-controller.js	modelId/vhBizId, title, scriptText, coverText, tags, voiceConfig	taskId, providerTaskId, status, videoUrl, publishText, pendingReview	xiaoice-video-jobs/*.json	老板，您的视频制作完成！请您审核。确认请回复：确认发布；需要修改请回复：不通过+建议。	视频生成失败，请稍后重试。	是	P0	已真实生成成功；确认发布dry-run通过；模拟飞书通过	Codex	初次启动：人设通过→自动形象定制→自动生成人设首条视频；最终视频仍需确认发布
一键成片查询	查看视频生成结果/视频生成好了没/内部轮询	飞书/OpenClaw/定时/内部调用	已有taskId或providerTaskId	无需用户操作，我会继续查询视频生成状态。	查询本地服务 /v1/tasks/:taskId，必要时查询官方 detail 接口兜底	scripts/xiaoice-video-produce.js wait/get	taskId	videoUrl, status, providerDetail	xiaoice-video-jobs/*.json	视频已生成。	视频生成失败，请重新生成。	否	P0	已真实测试	Codex	provider detail 的状态可能滞后，本地服务回调成功时以本地记录为准
视频审核确认	确认发布/发布这个视频/不满意重新生成	飞书/OpenClaw/网页	已有生成完成的视频	如需修改，请说明要调整标题、脚本、封面还是视频内容。	判断确认/驳回；确认后读取 pendingReview.publishText 进入抖音发布入口；驳回则清空 pendingReview 并重新生成	scripts/marketing-controller.js	videoUrl, coverUrl, userFeedback	发布任务已提交或新一版待确认视频	automation-marketing-state.json	已进入发布流程。	当前没有待确认视频。请先发送：生成数字人视频	是	P0	已实现并10轮dry-run通过	Codex	解决“生成后是否直接发布”的产品分歧：手动生成默认确认，定时任务可自动发布
